cid,doi,literature_type,formula,smile,fingerprint,topological,weight,heavy_atom,type,label
2777204,CN-106432608-B,patent,C7H6BF3O3,B(C1=CC=CC=C1OC(F)(F)F)(O)O,0000037182603180000000000000000000000000000000000000300000000000000000010000281B000008000008048090103006800004008000204200000208002020000888000608880C262284311A80302024C01108A8078040000000000000000000000000000000000000000000000000,49.7,206.0362087,14,LIB,0
2777204,CN-106229547-A,patent,C7H6BF3O3,B(C1=CC=CC=C1OC(F)(F)F)(O)O,0000037182603180000000000000000000000000000000000000300000000000000000010000281B000008000008048090103006800004008000204200000208002020000888000608880C262284311A80302024C01108A8078040000000000000000000000000000000000000000000000000,49.7,206.0362087,14,LIB,0
581760,WO-03070244-A1,patent,C4H5BO2S,B(C1=CSC=C1)(O)O,0000037182603000400000000000000000000000000120000000000000000000000000018000281804000800000800845000B001800000088400204200000300802008104888180000880820002001000000000000002000000000000000000000000000000000000000000000000000000000,68.7,128.0103307,8,Other,0
581760,JP-5112148-B2,patent,C4H5BO2S,B(C1=CSC=C1)(O)O,0000037182603000400000000000000000000000000120000000000000000000000000018000281804000800000800845000B001800000088400204200000300802008104888180000880820002001000000000000002000000000000000000000000000000000000000000000000000000000,68.7,128.0103307,8,LIB,1
581760,US-10727534-B2,patent,C4H5BO2S,B(C1=CSC=C1)(O)O,0000037182603000400000000000000000000000000120000000000000000000000000018000281804000800000800845000B001800000088400204200000300802008104888180000880820002001000000000000002000000000000000000000000000000000000000000000000000000000,68.7,128.0103307,8,MIB,0
581760,CN-118352638-A,patent,C4H5BO2S,B(C1=CSC=C1)(O)O,0000037182603000400000000000000000000000000120000000000000000000000000018000281804000800000800845000B001800000088400204200000300802008104888180000880820002001000000000000002000000000000000000000000000000000000000000000000000000000,68.7,128.0103307,8,SIB,1
129761408,CN-117638213-A,patent,C9H10BNO4,B(O)(O)OC1=CC=CC(=C1)NC(=O)C=C,00000371C2723800000000000000000000000000000000000000300000000000000000010000081E0010080000080C81900030C682C00000880025525000820000212200088800066CC8082622C0919384300866D419C8C8879050030000000002000000000000000400000000000000000000,78.8,207.070288,15,LIB,1
129761408,CN-119050466-A,patent,C9H10BNO4,B(O)(O)OC1=CC=CC(=C1)NC(=O)C=C,00000371C2723800000000000000000000000000000000000000300000000000000000010000081E0010080000080C81900030C682C00000880025525000820000212200088800066CC8082622C0919384300866D419C8C8879050030000000002000000000000000400000000000000000000,78.8,207.070288,15,LMB,1
6332567,CN-114421002-A,patent,BH3N,[B].N,00000371020200000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0,28.0358543,2,LIB,0
6332567,CN-116845343-A,patent,BH3N,[B].N,00000371020200000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0,28.0358543,2,LIB,0
6332567,CN-111640954-A,patent,BH3N,[B].N,00000371020200000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0,28.0358543,2,Other,0
6332567,KR-101732608-B1,patent,BH3N,[B].N,00000371020200000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0,28.0358543,2,LIB,1
