x,y,group
-3.284114,8.373598,Unlabeled
0.9334184,8.6046715,Unlabeled
1.2384816,17.569294,Unlabeled
0.1719606,9.043305,Unlabeled
-1.4765431,13.266861,Unlabeled
-1.6471096,13.140715,Unlabeled
-2.5426648,7.439892,Unlabeled
4.4213862,11.55774,Unlabeled
-0.29012096,9.525883,Unlabeled
-2.107272,4.8522005,Unlabeled
-0.9222454,7.7013054,Unlabeled
1.1735581,10.675568,Unlabeled
-1.4678372,12.360817,Unlabeled
1.3780955,9.246843,Unlabeled
2.705599,10.860892,Unlabeled
-2.6432025,3.772539,Unlabeled
-4.1746063,10.17871,Unlabeled
-1.7804168,6.333081,Unlabeled
4.090841,11.105543,Unlabeled
-7.357093,10.797983,Unlabeled
-0.42028612,10.29603,Unlabeled
-2.387616,9.671486,Unlabeled
-0.7692797,5.9557076,Unlabeled
1.9321039,11.0997,Unlabeled
-1.6089348,8.637634,Unlabeled
-10.282539,9.72164,Unlabeled
-7.48161,10.224695,Unlabeled
2.195612,9.901828,Unlabeled
-6.719255,7.7824235,Unlabeled
0.95703083,17.555178,Unlabeled
0.39177373,8.161144,Unlabeled
-1.6181121,3.449966,Unlabeled
-5.5379295,17.882784,Unlabeled
-1.1495637,7.4349723,Unlabeled
0.68340474,17.331062,Unlabeled
-2.4492166,3.9228413,Unlabeled
-1.8892313,10.738142,Unlabeled
-0.036724366,7.9963627,Unlabeled
4.078927,10.657201,Unlabeled
3.4046993,10.168787,Unlabeled
1.0680048,10.005285,Unlabeled
3.1154122,9.931927,Unlabeled
-2.1723044,10.339824,Unlabeled
2.3001611,10.065742,Unlabeled
2.1911047,14.140131,Unlabeled
-3.679616,10.212031,Unlabeled
1.3263845,13.808751,Unlabeled
12.918759,11.168402,Unlabeled
13.941899,8.299174,Unlabeled
-8.143365,10.980288,Unlabeled
2.9649544,11.957432,Unlabeled
-1.143877,10.360893,Unlabeled
-1.4869256,11.826696,Unlabeled
3.3867586,10.297567,Unlabeled
2.368548,13.805351,Unlabeled
0.6549927,12.427587,Unlabeled
1.3215905,11.066747,Unlabeled
-2.3201327,5.368089,Unlabeled
0.7024235,16.933832,Unlabeled
