similarity_rank,cid,prototype,prototype_label,x_center,bar_width,similarity,assigned_prototype,assigned_prototype_label,max_prototype_similarity
31,15520532,7,NP7,30.35142857142857,0.10777142857142856,-0.31080663204193115,6,NP6,0.8046156764030457
32,15605783,1,NP1,30.64857142857143,0.10777142857142856,-0.1997469961643219,6,NP6,0.8044784069061279
32,15605783,2,NP2,30.765714285714285,0.10777142857142856,-0.21251989901065826,6,NP6,0.8044784069061279
32,15605783,3,NP3,30.882857142857144,0.10777142857142856,-0.29057273268699646,6,NP6,0.8044784069061279
32,15605783,4,NP4,31.0,0.10777142857142856,-0.16432638466358185,6,NP6,0.8044784069061279
32,15605783,5,NP5,31.117142857142856,0.10777142857142856,0.08698342740535736,6,NP6,0.8044784069061279
32,15605783,6,NP6,31.234285714285715,0.10777142857142856,0.8044784069061279,6,NP6,0.8044784069061279
32,15605783,7,NP7,31.35142857142857,0.10777142857142856,-0.3133850395679474,6,NP6,0.8044784069061279
33,54472851,1,NP1,31.64857142857143,0.10777142857142856,-0.20734183490276337,6,NP6,0.8043332099914551
33,54472851,2,NP2,31.765714285714285,0.10777142857142856,-0.201096311211586,6,NP6,0.8043332099914551
33,54472851,3,NP3,31.882857142857144,0.10777142857142856,-0.2823033630847931,6,NP6,0.8043332099914551
33,54472851,4,NP4,32.0,0.10777142857142856,-0.15749718248844147,6,NP6,0.8043332099914551
33,54472851,5,NP5,32.11714285714286,0.10777142857142856,0.08309265226125717,6,NP6,0.8043332099914551
33,54472851,6,NP6,32.23428571428571,0.10777142857142856,0.8043332099914551,6,NP6,0.8043332099914551
33,54472851,7,NP7,32.35142857142857,0.10777142857142856,-0.31543827056884766,6,NP6,0.8043332099914551
34,71350376,1,NP1,32.64857142857143,0.10777142857142856,-0.2112882137298584,6,NP6,0.8039409518241882
34,71350376,2,NP2,32.76571428571429,0.10777142857142856,-0.2156851589679718,6,NP6,0.8039409518241882
34,71350376,3,NP3,32.88285714285714,0.10777142857142856,-0.28054195642471313,6,NP6,0.8039409518241882
34,71350376,4,NP4,33.0,0.10777142857142856,-0.18767742812633514,6,NP6,0.8039409518241882
34,71350376,5,NP5,33.11714285714286,0.10777142857142856,0.09175748378038406,6,NP6,0.8039409518241882
34,71350376,6,NP6,33.23428571428571,0.10777142857142856,0.8039409518241882,6,NP6,0.8039409518241882
34,71350376,7,NP7,33.35142857142857,0.10777142857142856,-0.3055129647254944,6,NP6,0.8039409518241882
35,517955,1,NP1,33.64857142857143,0.10777142857142856,0.8028914332389832,1,NP1,0.8028914332389832
35,517955,2,NP2,33.76571428571429,0.10777142857142856,-0.014451860450208187,1,NP1,0.8028914332389832
35,517955,3,NP3,33.88285714285714,0.10777142857142856,0.010702182538807392,1,NP1,0.8028914332389832
35,517955,4,NP4,34.0,0.10777142857142856,-0.09106358140707016,1,NP1,0.8028914332389832
35,517955,5,NP5,34.11714285714286,0.10777142857142856,-0.21555207669734955,1,NP1,0.8028914332389832
35,517955,6,NP6,34.23428571428571,0.10777142857142856,-0.16816608607769012,1,NP1,0.8028914332389832
35,517955,7,NP7,34.35142857142857,0.10777142857142856,-0.03558243438601494,1,NP1,0.8028914332389832
36,52915087,1,NP1,34.64857142857143,0.10777142857142856,-0.18449623882770538,6,NP6,0.8018889427185059
36,52915087,2,NP2,34.76571428571429,0.10777142857142856,-0.2112686187028885,6,NP6,0.8018889427185059
36,52915087,3,NP3,34.88285714285714,0.10777142857142856,-0.28736814856529236,6,NP6,0.8018889427185059
36,52915087,4,NP4,35.0,0.10777142857142856,-0.13743451237678528,6,NP6,0.8018889427185059
36,52915087,5,NP5,35.11714285714286,0.10777142857142856,0.076677605509758,6,NP6,0.8018889427185059
